id_cliente,fecha_registro,edad,genero,region,estado_civil,ingreso_mensual,gasto_mensual,deuda_total,score_crediticio,antiguedad_meses,frecuencia_compra,ultima_compra_dias,uso_app,tipo_plan,num_productos,tiene_tarjeta_credito,canal_registro,dia_semana_registro,hora_registro,codigo_postal,abandono
599,2022-12-30,70,Femenino,Centro,Casado,852980.8356660064,541309.3186444438,7320297.829046821,562.1609290720166,62,10,128,Bajo,Basico,3,0,Tienda,Sabado,4,1849,0
651,2018-02-04,35,Femenino,Norte,Divorciado,724174.5928442522,410733.1914264929,2960341.284139718,461.8399741286445,60,18,192,Medio,Estandar,5,0,App,Sabado,19,1874,0
651,2018-02-04,35,Femenino,Norte,Divorciado,724174.5928442522,410733.1914264929,2960341.284139718,461.8399741286445,60,18,192,Medio,Estandar,5,0,App,Sabado,19,1874,0
696,2021-11-09,53,Femenino,Sur,Soltero,679527.4616032984,456223.73662374367,1639556.4028068064,699.0172355939416,101,12,221,Medio,Basico,4,0,Tienda,Sabado,13,6520,1
696,2021-11-09,53,Femenino,Sur,Soltero,679527.4616032984,456223.73662374367,1639556.4028068064,699.0172355939416,101,12,221,Medio,Basico,4,0,Tienda,Sabado,13,6520,1
735,2023-05-10,71,Otro,Norte,Soltero,441892.9133708981,555791.1242178697,1268088.043032534,423.2604494976105,76,10,183,Medio,Basico,1,0,Tienda,Lunes,3,4488,0
735,2023-05-10,71,Otro,Norte,Soltero,441892.9133708981,555791.1242178697,1268088.043032534,423.2604494976105,76,10,183,Medio,Basico,1,0,Tienda,Lunes,3,4488,0
812,2022-09-06,74,Otro,Norte,Soltero,842363.3157410419,378326.5085387179,1213497.2365750489,622.5785086192968,78,11,325,Medio,Basico,4,0,App,Sabado,17,9020,1
812,2022-09-06,74,Otro,Norte,Soltero,842363.3157410419,378326.5085387179,1213497.2365750489,622.5785086192968,78,11,325,Medio,Basico,4,0,App,Sabado,17,9020,1
824,2019-10-03,73,Masculino,Centro,Soltero,848156.89226242,502880.9199866339,3415749.242086324,680.035384644458,23,8,65,Medio,Premium,1,0,App,Jueves,20,2857,0
824,2019-10-03,73,Masculino,Centro,Soltero,848156.89226242,502880.9199866339,3415749.242086324,680.035384644458,23,8,65,Medio,Premium,1,0,App,Jueves,20,2857,0
829,2019-05-16,48,Femenino,Sur,Divorciado,709900.2427063603,448024.5692599289,2746928.9224041053,611.1533147067378,46,7,195,Alto,Basico,2,1,Tienda,Lunes,20,8798,0
829,2019-05-16,48,Femenino,Sur,Divorciado,709900.2427063603,448024.5692599289,2746928.9224041053,611.1533147067378,46,7,195,Alto,Basico,2,1,Tienda,Lunes,20,8798,0
884,2021-10-19,49,Femenino,Norte,Casado,801636.2263856254,701496.5438715338,2751759.206175644,691.6126981746918,49,14,290,Bajo,Estandar,2,0,Tienda,Martes,14,2012,0
884,2021-10-19,49,Femenino,Norte,Casado,801636.2263856254,701496.5438715338,2751759.206175644,691.6126981746918,49,14,290,Bajo,Estandar,2,0,Tienda,Martes,14,2012,0
946,2018-08-20,26,Masculino,Norte,Soltero,566251.8104396162,,679084.1406940543,587.192075060414,119,16,298,Alto,Premium,1,1,Web,Lunes,15,1849,0
946,2018-08-20,26,Masculino,Norte,Soltero,566251.8104396162,,679084.1406940543,587.192075060414,119,16,298,Alto,Premium,1,1,Web,Lunes,15,1849,0
1056,2019-08-07,24,Femenino,Norte,Casado,490293.6163885208,324278.0749989821,2084781.155701819,504.31024632083006,118,3,102,Medio,Basico,3,1,App,Viernes,15,7138,0
1056,2019-08-07,24,Femenino,Norte,Casado,490293.6163885208,324278.0749989821,2084781.155701819,504.31024632083006,118,3,102,Medio,Basico,3,1,App,Viernes,15,7138,0
1061,2019-11-22,59,Femenino,Sur,Casado,570002.7193767072,360551.90590263065,1476168.1395625204,,90,7,36,Medio,Estandar,2,1,Tienda,Lunes,2,2012,0
1061,2019-11-22,59,Femenino,Sur,Casado,570002.7193767072,360551.90590263065,1476168.1395625204,,90,7,36,Medio,Estandar,2,1,Tienda,Lunes,2,2012,0
1145,2020-04-21,76,Masculino,Norte,Divorciado,747307.2830986473,332127.92977528507,2698935.353735933,,103,11,34,Alto,Estandar,5,0,Tienda,Domingo,14,2160,0
1145,2020-04-21,76,Masculino,Norte,Divorciado,747307.2830986473,332127.92977528507,2698935.353735933,,103,11,34,Alto,Estandar,5,0,Tienda,Domingo,14,2160,0
1239,2019-05-05,51,Masculino,Norte,Soltero,595205.7351358483,276861.5183698338,3786200.5055761854,582.0120758485956,59,17,294,Alto,Basico,3,1,App,Martes,3,2560,1
1239,2019-05-05,51,Masculino,Norte,Soltero,595205.7351358483,276861.5183698338,3786200.5055761854,582.0120758485956,59,17,294,Alto,Basico,3,1,App,Martes,3,2560,1
1432,2020-03-08,60,Otro,Norte,Soltero,1039976.5657383528,267260.72157926986,1167812.0216598108,,44,6,248,Medio,Basico,4,1,App,Sabado,14,5635,1
1432,2020-03-08,60,Otro,Norte,Soltero,1039976.5657383528,267260.72157926986,1167812.0216598108,,44,6,248,Medio,Basico,4,1,App,Sabado,14,5635,1
1447,2018-09-15,21,Masculino,Sur,Soltero,1042892.8416659508,552838.2099718659,3034784.12754606,645.970781062422,14,8,79,Medio,Estandar,4,1,Web,Martes,11,9500,0
1447,2018-09-15,21,Masculino,Sur,Soltero,1042892.8416659508,552838.2099718659,3034784.12754606,645.970781062422,14,8,79,Medio,Estandar,4,1,Web,Martes,11,9500,0
1451,2019-11-02,71,Otro,Centro,Soltero,,444201.3494291859,2300483.014633331,372.84910028965896,67,8,195,Alto,Basico,5,1,Tienda,Viernes,21,2999,1
1451,2019-11-02,71,Otro,Centro,Soltero,,444201.3494291859,2300483.014633331,372.84910028965896,67,8,195,Alto,Basico,5,1,Tienda,Viernes,21,2999,1
1590,2019-10-29,75,Masculino,Sur,Casado,664706.5427635822,404583.42223700567,728683.0992883502,682.925337453697,54,15,342,Alto,Premium,2,0,App,Sabado,2,4725,0
1590,2019-10-29,75,Masculino,Sur,Casado,664706.5427635822,404583.42223700567,728683.0992883502,682.925337453697,54,15,342,Alto,Premium,2,0,App,Sabado,2,4725,0
1608,2020-02-04,37,Otro,Norte,Divorciado,690653.7665291621,456545.90323444153,-288117.9882558086,672.7211643922201,19,19,115,Medio,Premium,2,1,Web,Lunes,15,7936,0
1608,2020-02-04,37,Otro,Norte,Divorciado,690653.7665291621,456545.90323444153,-288117.9882558086,672.7211643922201,19,19,115,Medio,Premium,2,1,Web,Lunes,15,7936,0
1627,2021-10-26,18,Masculino,Sur,Divorciado,1062000.1783171818,692112.4496759725,1865442.4197653744,662.8550744864831,116,4,319,Bajo,Premium,3,0,Web,Domingo,17,2925,0
1627,2021-10-26,18,Masculino,Sur,Divorciado,1062000.1783171818,692112.4496759725,1865442.4197653744,662.8550744864831,116,4,319,Bajo,Premium,3,0,Web,Domingo,17,2925,0
1653,2022-10-27,43,Otro,Norte,Divorciado,339270.76093443227,441806.1001553965,2669481.45284222,618.7319511693295,115,17,147,Medio,Estandar,1,0,Tienda,Martes,11,2517,1
1653,2022-10-27,43,Otro,Norte,Divorciado,339270.76093443227,441806.1001553965,2669481.45284222,618.7319511693295,115,17,147,Medio,Estandar,1,0,Tienda,Martes,11,2517,1
1764,2019-10-26,32,Femenino,Centro,Casado,761960.128681042,239372.30191676383,3666415.886309249,,30,6,241,Bajo,Estandar,3,1,Tienda,Sabado,23,1083,0
1764,2019-10-26,32,Femenino,Centro,Casado,761960.128681042,239372.30191676383,3666415.886309249,,30,6,241,Bajo,Estandar,3,1,Tienda,Sabado,23,1083,0
1768,2020-12-28,79,Femenino,Centro,Casado,817818.6453246757,335075.2483447602,2715141.494523649,677.7812225454082,67,5,338,Medio,Estandar,5,0,Web,Miercoles,16,8217,0
1768,2020-12-28,79,Femenino,Centro,Casado,817818.6453246757,335075.2483447602,2715141.494523649,677.7812225454082,67,5,338,Medio,Estandar,5,0,Web,Miercoles,16,8217,0
1804,2019-07-03,59,Masculino,Sur,Soltero,882921.9513409445,663315.5253700828,2437731.230517912,558.1771261870944,2,2,252,Bajo,Premium,1,1,Tienda,Domingo,13,4868,1
1804,2019-07-03,59,Masculino,Sur,Soltero,882921.9513409445,663315.5253700828,2437731.230517912,558.1771261870944,2,2,252,Bajo,Premium,1,1,Tienda,Domingo,13,4868,1
1836,2022-07-27,53,Femenino,Norte,Soltero,600516.4207348617,446675.59306645294,1599065.4512595304,659.7411834588082,31,2,309,Alto,Premium,4,1,Web,Domingo,19,3859,0
1836,2022-07-27,53,Femenino,Norte,Soltero,600516.4207348617,446675.59306645294,1599065.4512595304,659.7411834588082,31,2,309,Alto,Premium,4,1,Web,Domingo,19,3859,0
2007,2020-01-01,65,Masculino,Sur,Casado,1129901.9872255046,352846.4793043678,2481510.2711706143,540.4363625858662,95,2,222,Alto,Basico,1,0,Web,Sabado,10,4850,1
2007,2020-01-01,65,Masculino,Sur,Casado,1129901.9872255046,352846.4793043678,2481510.2711706143,540.4363625858662,95,2,222,Alto,Basico,1,0,Web,Sabado,10,4850,1
2036,2020-06-30,46,Masculino,Sur,Soltero,916206.6042791738,142346.29425834003,1380587.2149272338,688.7433372292297,29,6,193,Alto,Estandar,1,1,App,Miercoles,8,6651,1
2036,2020-06-30,46,Masculino,Sur,Soltero,916206.6042791738,142346.29425834003,1380587.2149272338,688.7433372292297,29,6,193,Alto,Estandar,1,1,App,Miercoles,8,6651,1
2099,2023-05-17,54,Femenino,Norte,Casado,880669.1338792606,425148.7674506845,2070236.429848221,554.0581675033745,36,7,99,Medio,Basico,2,1,Web,Domingo,14,2221,0
2099,2023-05-17,54,Femenino,Norte,Casado,880669.1338792606,425148.7674506845,2070236.429848221,554.0581675033745,36,7,99,Medio,Basico,2,1,Web,Domingo,14,2221,0
2144,2019-11-04,66,Femenino,Centro,Soltero,927436.2755469874,314434.83969792246,1362829.4610493788,571.8456847314112,3,13,54,Medio,Premium,5,1,App,Jueves,10,8578,0
2144,2019-11-04,66,Femenino,Centro,Soltero,927436.2755469874,314434.83969792246,1362829.4610493788,571.8456847314112,3,13,54,Medio,Premium,5,1,App,Jueves,10,8578,0
2145,2020-08-22,41,Femenino,Centro,Divorciado,1052933.6542489117,442141.2684396973,495630.2775604543,497.715211144314,81,8,225,Bajo,Premium,3,1,Web,Martes,12,6568,0
2145,2020-08-22,41,Femenino,Centro,Divorciado,1052933.6542489117,442141.2684396973,495630.2775604543,497.715211144314,81,8,225,Bajo,Premium,3,1,Web,Martes,12,6568,0
2201,2019-10-22,47,Femenino,Norte,Divorciado,962310.146370866,426663.6509985272,1328040.4979326776,856.3814883335924,20,12,318,Medio,Premium,3,0,Tienda,Miercoles,19,9636,1
2201,2019-10-22,47,Femenino,Norte,Divorciado,962310.146370866,426663.6509985272,1328040.4979326776,856.3814883335924,20,12,318,Medio,Premium,3,0,Tienda,Miercoles,19,9636,1
2270,2023-05-01,78,Femenino,Centro,Casado,376603.0953071248,634876.3234637245,2958524.536346462,487.59021122876334,31,10,87,Bajo,Estandar,5,1,Tienda,Domingo,9,1021,0
2270,2023-05-01,78,Femenino,Centro,Casado,376603.0953071248,634876.3234637245,2958524.536346462,487.59021122876334,31,10,87,Bajo,Estandar,5,1,Tienda,Domingo,9,1021,0
2320,2018-10-08,48,Masculino,Centro,Soltero,1011676.2383563524,315736.8456049614,2753203.149760172,392.7557429225609,98,15,294,Alto,Estandar,1,1,App,Sabado,21,1693,0
2320,2018-10-08,48,Masculino,Centro,Soltero,1011676.2383563524,315736.8456049614,2753203.149760172,392.7557429225609,98,15,294,Alto,Estandar,1,1,App,Sabado,21,1693,0
2326,2021-01-13,52,Masculino,Sur,Divorciado,1168476.681867881,653560.769288465,2994826.6900534583,590.415403905896,110,7,181,Bajo,Estandar,1,1,App,Viernes,15,7728,0
2326,2021-01-13,52,Masculino,Sur,Divorciado,1168476.681867881,653560.769288465,2994826.6900534583,590.415403905896,110,7,181,Bajo,Estandar,1,1,App,Viernes,15,7728,0
2331,2020-03-10,58,Femenino,Norte,Soltero,1371422.8509922868,399101.2324156208,2305578.522135661,614.0275414074893,78,10,72,Alto,Premium,4,0,Web,Miercoles,16,8424,1
2331,2020-03-10,58,Femenino,Norte,Soltero,1371422.8509922868,399101.2324156208,2305578.522135661,614.0275414074893,78,10,72,Alto,Premium,4,0,Web,Miercoles,16,8424,1
2406,2018-03-28,41,Otro,Norte,Soltero,444453.0241684787,171022.34914629193,2069078.998779565,501.9336647110046,31,18,9,Bajo,Estandar,2,0,Tienda,Domingo,3,4805,0
2406,2018-03-28,41,Otro,Norte,Soltero,444453.0241684787,171022.34914629193,2069078.998779565,501.9336647110046,31,18,9,Bajo,Estandar,2,0,Tienda,Domingo,3,4805,0
2423,2023-02-26,58,Masculino,Sur,Divorciado,1022167.7824257772,302975.08424600976,2708405.3354292903,411.7314302381101,50,18,225,Bajo,Basico,4,0,Tienda,Martes,4,2546,0
2423,2023-02-26,58,Masculino,Sur,Divorciado,1022167.7824257772,302975.08424600976,2708405.3354292903,411.7314302381101,50,18,225,Bajo,Basico,4,0,Tienda,Martes,4,2546,0
2503,2020-03-12,58,Otro,Sur,Soltero,1167352.8178607768,492518.81490024354,2196455.63357494,705.5387995749492,11,16,140,Alto,Premium,1,1,Tienda,Domingo,7,2637,0
2503,2020-03-12,58,Otro,Sur,Soltero,1167352.8178607768,492518.81490024354,2196455.63357494,705.5387995749492,11,16,140,Alto,Premium,1,1,Tienda,Domingo,7,2637,0
2572,2018-02-25,38,Otro,Sur,Soltero,1074298.6507623526,347466.62567006727,508548.4395348828,415.0913166542,75,17,39,Bajo,Premium,2,1,Web,Domingo,12,7867,1
2572,2018-02-25,38,Otro,Sur,Soltero,1074298.6507623526,347466.62567006727,508548.4395348828,415.0913166542,75,17,39,Bajo,Premium,2,1,Web,Domingo,12,7867,1
2599,2021-09-24,79,Masculino,Sur,Casado,608924.0148529346,541870.2244865457,1773174.247648199,,112,6,356,Alto,Estandar,1,1,Tienda,Domingo,0,2178,1
2599,2021-09-24,79,Masculino,Sur,Casado,608924.0148529346,541870.2244865457,1773174.247648199,,112,6,356,Alto,Estandar,1,1,Tienda,Domingo,0,2178,1
2642,2020-01-16,33,Masculino,Sur,Soltero,677934.9363298399,396626.57923091255,2313511.748815554,553.4556330299467,7,17,249,Alto,Basico,5,0,Web,Domingo,8,5456,0
2642,2020-01-16,33,Masculino,Sur,Soltero,677934.9363298399,396626.57923091255,2313511.748815554,553.4556330299467,7,17,249,Alto,Basico,5,0,Web,Domingo,8,5456,0
2643,2021-05-31,40,Otro,Sur,Divorciado,984493.1589777308,265777.582691532,1543999.7780120338,810.1985068045858,21,8,141,Bajo,Basico,2,0,Tienda,Jueves,13,2907,1
2643,2021-05-31,40,Otro,Sur,Divorciado,984493.1589777308,265777.582691532,1543999.7780120338,810.1985068045858,21,8,141,Bajo,Basico,2,0,Tienda,Jueves,13,2907,1
2687,2018-11-13,45,Otro,Centro,Divorciado,341835.0268670648,505897.79236351536,161703.1345354824,599.0365443261832,96,15,218,Alto,Premium,1,1,Tienda,Domingo,7,5334,0
2687,2018-11-13,45,Otro,Centro,Divorciado,341835.0268670648,505897.79236351536,161703.1345354824,599.0365443261832,96,15,218,Alto,Premium,1,1,Tienda,Domingo,7,5334,0
2740,2022-01-21,65,Masculino,Centro,Divorciado,965195.9430610364,-70550.45349127159,1439252.289806103,595.8248532207788,58,17,162,Alto,Basico,4,0,Tienda,Lunes,14,8720,1
2740,2022-01-21,65,Masculino,Centro,Divorciado,965195.9430610364,-70550.45349127159,1439252.289806103,595.8248532207788,58,17,162,Alto,Basico,4,0,Tienda,Lunes,14,8720,1
2803,2019-02-15,36,Femenino,Norte,Soltero,748953.1876882431,423067.519079085,1652183.3387517254,462.0367554989505,56,5,347,Medio,Premium,3,1,App,Martes,20,6272,0
2803,2019-02-15,36,Femenino,Norte,Soltero,748953.1876882431,423067.519079085,1652183.3387517254,462.0367554989505,56,5,347,Medio,Premium,3,1,App,Martes,20,6272,0
2868,2021-12-20,33,Masculino,Norte,Divorciado,,244303.2820397038,2029458.14615304,487.5740147540658,6,6,111,Medio,Basico,1,1,App,Miercoles,8,5950,0
2868,2021-12-20,33,Masculino,Norte,Divorciado,,244303.2820397038,2029458.14615304,487.5740147540658,6,6,111,Medio,Basico,1,1,App,Miercoles,8,5950,0
3043,2019-06-27,73,Otro,Centro,Divorciado,,509938.812888687,2285259.533787264,583.4110445463629,36,15,93,Medio,Basico,5,1,Web,Miercoles,9,4107,0
3043,2019-06-27,73,Otro,Centro,Divorciado,,509938.812888687,2285259.533787264,583.4110445463629,36,15,93,Medio,Basico,5,1,Web,Miercoles,9,4107,0
3097,2021-01-20,61,Femenino,Sur,Divorciado,1330977.0086428688,231799.7795389628,906745.1908447128,656.6265251440802,35,17,133,Alto,Estandar,2,1,App,Lunes,23,4421,1
3097,2021-01-20,61,Femenino,Sur,Divorciado,1330977.0086428688,231799.7795389628,906745.1908447128,656.6265251440802,35,17,133,Alto,Estandar,2,1,App,Lunes,23,4421,1
3157,2023-02-26,64,Otro,Norte,Soltero,1405352.377649993,404748.7200303844,3021001.871242808,683.9685231800653,111,2,247,Medio,Premium,5,1,Web,Sabado,5,8276,0
3157,2023-02-26,64,Otro,Norte,Soltero,1405352.377649993,404748.7200303844,3021001.871242808,683.9685231800653,111,2,247,Medio,Premium,5,1,Web,Sabado,5,8276,0
3201,2018-02-10,45,Otro,Sur,Casado,,226085.9090059184,2317159.324279991,701.6759259752041,61,8,173,Bajo,Estandar,2,1,App,Jueves,0,7234,0
3201,2018-02-10,45,Otro,Sur,Casado,,226085.9090059184,2317159.324279991,701.6759259752041,61,8,173,Bajo,Estandar,2,1,App,Jueves,0,7234,0
3435,2018-03-13,59,Masculino,Norte,Soltero,1008808.449299912,429417.50499463576,1452047.9687250038,629.9385019777937,35,15,316,Medio,Premium,4,0,Tienda,Sabado,10,9717,0
3435,2018-03-13,59,Masculino,Norte,Soltero,1008808.449299912,429417.50499463576,1452047.9687250038,629.9385019777937,35,15,316,Medio,Premium,4,0,Tienda,Sabado,10,9717,0
3454,2018-07-15,29,Masculino,Centro,Casado,909282.744311676,572590.2086589667,2146776.8376235305,481.9975292591271,58,9,65,Alto,Estandar,4,0,Tienda,Viernes,9,3540,0
3454,2018-07-15,29,Masculino,Centro,Casado,909282.744311676,572590.2086589667,2146776.8376235305,481.9975292591271,58,9,65,Alto,Estandar,4,0,Tienda,Viernes,9,3540,0
3520,2020-10-26,50,Masculino,Sur,Casado,676393.1267793553,,1847388.8742585173,598.534197871894,70,17,259,Alto,Basico,5,0,App,Martes,4,3135,0
3520,2020-10-26,50,Masculino,Sur,Casado,676393.1267793553,,1847388.8742585173,598.534197871894,70,17,259,Alto,Basico,5,0,App,Martes,4,3135,0
3554,2018-06-24,64,Femenino,Centro,Casado,528800.6487519525,487347.85451913817,2515087.0005346667,563.6284307453999,39,17,189,Alto,Premium,4,0,App,Lunes,11,3263,0
3554,2018-06-24,64,Femenino,Centro,Casado,528800.6487519525,487347.85451913817,2515087.0005346667,563.6284307453999,39,17,189,Alto,Premium,4,0,App,Lunes,11,3263,0
3702,2023-01-26,36,Femenino,Sur,Divorciado,113572.8606491182,201530.8659053376,2912062.1731310743,693.6933978538802,109,8,47,Bajo,Basico,5,1,Tienda,Lunes,5,6625,0
3702,2023-01-26,36,Femenino,Sur,Divorciado,113572.8606491182,201530.8659053376,2912062.1731310743,693.6933978538802,109,8,47,Bajo,Basico,5,1,Tienda,Lunes,5,6625,0
3704,2021-07-06,55,Femenino,Norte,Divorciado,544884.1768931139,506044.5812033892,1060975.6792261065,638.9450530112916,70,10,72,Alto,Premium,4,1,Tienda,Martes,6,8847,0
3704,2021-07-06,55,Femenino,Norte,Divorciado,544884.1768931139,506044.5812033892,1060975.6792261065,638.9450530112916,70,10,72,Alto,Premium,4,1,Tienda,Martes,6,8847,0
3817,2022-01-28,74,Masculino,Sur,Soltero,1176497.1535944713,280989.33348175656,2585364.239666326,531.7617125539916,2,1,17,Medio,Premium,2,1,Tienda,Lunes,8,6491,0
3817,2022-01-28,74,Masculino,Sur,Soltero,1176497.1535944713,280989.33348175656,2585364.239666326,531.7617125539916,2,1,17,Medio,Premium,2,1,Tienda,Lunes,8,6491,0
3843,2020-02-11,69,Otro,Sur,Casado,1370149.7733274177,584992.1935769245,3201080.42231481,657.4905170623747,82,18,326,Medio,Estandar,4,0,App,Sabado,21,8930,0
3843,2020-02-11,69,Otro,Sur,Casado,1370149.7733274177,584992.1935769245,3201080.42231481,657.4905170623747,82,18,326,Medio,Estandar,4,0,App,Sabado,21,8930,0
3850,2022-10-21,64,Otro,Sur,Casado,1054057.129032323,389174.8709766595,1624462.245106952,599.8237568874949,84,12,337,Bajo,Premium,5,0,App,Sabado,7,8191,1
3850,2022-10-21,64,Otro,Sur,Casado,1054057.129032323,389174.8709766595,1624462.245106952,599.8237568874949,84,12,337,Bajo,Premium,5,0,App,Sabado,7,8191,1
3862,2018-08-08,56,Otro,Sur,Casado,799442.8737908133,547321.4515497395,1557870.8790473535,470.66372848298016,118,7,292,Alto,Premium,5,1,Web,Domingo,6,5676,1
3862,2018-08-08,56,Otro,Sur,Casado,799442.8737908133,547321.4515497395,1557870.8790473535,470.66372848298016,118,7,292,Alto,Premium,5,1,Web,Domingo,6,5676,1
3928,2018-11-17,31,Femenino,Norte,Soltero,505325.9860931957,611982.075785138,366190.62920333794,715.2777025050646,50,19,148,Alto,Premium,1,1,Web,Lunes,21,2949,0
3928,2018-11-17,31,Femenino,Norte,Soltero,505325.9860931957,611982.075785138,366190.62920333794,715.2777025050646,50,19,148,Alto,Premium,1,1,Web,Lunes,21,2949,0
4059,2023-02-05,41,Femenino,Centro,Casado,1067352.2419486493,454250.70825015695,2042617.074594128,483.0415991670084,47,14,77,Medio,Basico,1,0,App,Sabado,0,8934,1
4059,2023-02-05,41,Femenino,Centro,Casado,1067352.2419486493,454250.70825015695,2042617.074594128,483.0415991670084,47,14,77,Medio,Basico,1,0,App,Sabado,0,8934,1
4194,2021-07-09,69,Otro,Norte,Divorciado,765530.2079227222,304722.02439046686,1274632.4003552604,588.4116918215007,97,7,60,Bajo,Estandar,4,0,App,Domingo,21,1314,0
4194,2021-07-09,69,Otro,Norte,Divorciado,765530.2079227222,304722.02439046686,1274632.4003552604,588.4116918215007,97,7,60,Bajo,Estandar,4,0,App,Domingo,21,1314,0
4212,2023-02-15,66,Masculino,Norte,Soltero,594712.5346045918,68661.3499197787,2247189.6061932426,545.8866279287153,64,18,289,Alto,Basico,3,1,Web,Sabado,11,8961,0
4212,2023-02-15,66,Masculino,Norte,Soltero,594712.5346045918,68661.3499197787,2247189.6061932426,545.8866279287153,64,18,289,Alto,Basico,3,1,Web,Sabado,11,8961,0
4222,2021-03-24,59,Otro,Norte,Casado,898726.9398925708,418137.28180202655,1792458.825361501,679.9322931887239,113,16,112,Alto,Basico,4,0,Tienda,Miercoles,15,9054,0
4222,2021-03-24,59,Otro,Norte,Casado,898726.9398925708,418137.28180202655,1792458.825361501,679.9322931887239,113,16,112,Alto,Basico,4,0,Tienda,Miercoles,15,9054,0
4247,2021-04-01,71,Femenino,Centro,Divorciado,5122045.721240792,521481.3635443027,2412446.9785599685,776.2426356509724,116,12,316,Alto,Premium,5,1,App,Viernes,22,8300,1
4247,2021-04-01,71,Femenino,Centro,Divorciado,5122045.721240792,521481.3635443027,2412446.9785599685,776.2426356509724,116,12,316,Alto,Premium,5,1,App,Viernes,22,8300,1
4293,2022-04-04,53,Masculino,Norte,Casado,278061.0104666082,411691.4795071458,2124385.1891824123,523.2162686822875,115,11,312,Bajo,Basico,4,0,Web,Domingo,3,8809,0
4293,2022-04-04,53,Masculino,Norte,Casado,278061.0104666082,411691.4795071458,2124385.1891824123,523.2162686822875,115,11,312,Bajo,Basico,4,0,Web,Domingo,3,8809,0
4318,2021-12-07,48,Masculino,Centro,Casado,812982.0582400777,395918.11574778985,3051000.9859078955,,87,12,259,Bajo,Estandar,2,1,App,Lunes,10,1526,1
4318,2021-12-07,48,Masculino,Centro,Casado,812982.0582400777,395918.11574778985,3051000.9859078955,,87,12,259,Bajo,Estandar,2,1,App,Lunes,10,1526,1
4427,2021-09-28,74,Masculino,Sur,Casado,889842.9439927405,398612.33644215344,2044482.470319016,613.4665569433308,22,16,184,Alto,Basico,4,1,App,Lunes,5,9379,0
4427,2021-09-28,74,Masculino,Sur,Casado,889842.9439927405,398612.33644215344,2044482.470319016,613.4665569433308,22,16,184,Alto,Basico,4,1,App,Lunes,5,9379,0
4432,2019-03-16,20,Femenino,Norte,Divorciado,909749.953881136,240625.77767769533,3006705.496227656,616.0332251461485,97,3,155,Alto,Estandar,3,1,Web,Miercoles,3,6220,1
